10.4115 	0.0458247
11.0162 	0.0471991
11.5624 	0.138063
12.1357 	0.184084
12.8405 	0.185459
13.6963 	0.231872
14.7274 	0.278482
16.0937 	0.280642
17.5867 	0.327645
19.3738 	0.330001
20.8324 	0.331768
22.7650 	0.333928
25.2815 	0.33648
27.6268 	0.383483
30.1898 	0.385642
32.9905 	0.432645
37.8385 	0.39114
43.3988 	0.304791
48.5864 	0.262697
54.3941 	0.310289
60.4068 	0.312841
68.7271 	0.271139
80.1083 	0.230027
95.6611 	0.234346
113.316 	0.148783
135.316 	0.0634164
157.724 	0.0671468
183.844 	0.0260341
210.859 	-0.0603143
243.804 	-0.101623
288.799 	-0.142343
344.868 	-0.272553
408.515 	-0.358116
495.76 	-0.487933
573.217 	-0.618928
679.006 	-0.749334
797.86 	-0.879937
945.108 	-1.01034
1165.6 	-1.22945
1326.15 	-1.22631
1449.18 	-1.08962
1583.62 	-0.997777
1860.81 	-1.17322
2186.53 	-1.34867
2428.23 	-1.34612
2853.26 	-1.43188
3325.76 	-1.33846
3693.39 	-1.11169
4068.71 	-0.929963
4704.4 	-0.971272
5309.38 	-0.833798
5848.91 	-0.65207
6548.05 	-0.425106
7155.52 	-0.0642017
7632.42 	0.161584
8340.48 	0.298273
9262.43 	0.255982
10623.6 	0.25932
11703.1 	0.396205
13315.1 	0.533876
14668.1 	0.581075
16823.6 	0.180825
18236.7 	-0.624386
19609.6 	-1.38495
20252.6 	-1.74291
